title,content,description,language,source,published_at,url,keyword
Turkish banks report strong quarterly earnings,Market analysts predict continued volatility in the coming weeks...,Policy makers are considering various options to stabilize the economy......,en,BBC,2025-06-04 15:47:36.833391,https://example.com/article_26,sample
Geopolitical tensions affect Turkish financial markets,Economic indicators show mixed signals for Turkish market outlook...,The government's new economic strategy aims to boost growth and stability......,tr,Haberturk,2025-06-24 04:28:36.833391,https://example.com/article_27,sample
Turkish lira strengthens against dollar after policy announcement,Policy makers are considering various options to stabilize the economy...,Policy makers are considering various options to stabilize the economy......,tr,Hurriyet,2025-06-16 18:58:36.833391,https://example.com/article_28,sample
Turkish Central Bank raises interest rates to combat inflation,The government's new economic strategy aims to boost growth and stability...,International investors are closely watching Turkish economic developments......,en,BBC,2025-05-27 13:06:36.833391,https://example.com/article_29,sample
New trade agreement signed between Turkey and EU,Economic indicators show mixed signals for Turkish market outlook...,International investors are closely watching Turkish economic developments......,en,BBC,2025-06-04 16:29:36.833391,https://example.com/article_30,sample
Turkish Central Bank raises interest rates to combat inflation,Economic indicators show mixed signals for Turkish market outlook...,International investors are closely watching Turkish economic developments......,tr,Reuters,2025-05-27 12:03:36.833391,https://example.com/article_31,sample
Geopolitical tensions affect Turkish financial markets,Economic indicators show mixed signals for Turkish market outlook...,Economic indicators show mixed signals for Turkish market outlook......,tr,Anadolu Agency,2025-06-05 12:14:36.833391,https://example.com/article_32,sample
New trade agreement signed between Turkey and EU,Market analysts predict continued volatility in the coming weeks...,Market analysts predict continued volatility in the coming weeks......,tr,Hurriyet,2025-06-01 18:44:36.833391,https://example.com/article_33,sample
Turkish banks report strong quarterly earnings,Policy makers are considering various options to stabilize the economy...,The government's new economic strategy aims to boost growth and stability......,tr,Anadolu Agency,2025-06-14 09:05:36.833391,https://example.com/article_34,sample
Turkish lira strengthens against dollar after policy announcement,Market analysts predict continued volatility in the coming weeks...,Market analysts predict continued volatility in the coming weeks......,tr,Haberturk,2025-05-31 21:11:36.833391,https://example.com/article_35,sample
Turkish banks report strong quarterly earnings,The government's new economic strategy aims to boost growth and stability...,Market analysts predict continued volatility in the coming weeks......,tr,Bloomberg,2025-06-13 09:03:36.833391,https://example.com/article_36,sample
Turkish economy shows signs of recovery in latest GDP data,Economic indicators show mixed signals for Turkish market outlook...,The government's new economic strategy aims to boost growth and stability......,tr,Hurriyet,2025-06-26 13:34:36.833391,https://example.com/article_37,sample
Turkish economy shows signs of recovery in latest GDP data,Market analysts predict continued volatility in the coming weeks...,Policy makers are considering various options to stabilize the economy......,en,Reuters,2025-06-17 05:40:36.833391,https://example.com/article_38,sample
Turkish Central Bank raises interest rates to combat inflation,Economic indicators show mixed signals for Turkish market outlook...,Economic indicators show mixed signals for Turkish market outlook......,en,BBC,2025-06-12 23:18:36.833391,https://example.com/article_39,sample
Turkish tourism industry bounces back strongly,The government's new economic strategy aims to boost growth and stability...,International investors are closely watching Turkish economic developments......,tr,Bloomberg,2025-06-11 03:16:36.833391,https://example.com/article_40,sample
Currency volatility increases amid political uncertainty,Policy makers are considering various options to stabilize the economy...,Policy makers are considering various options to stabilize the economy......,en,Anadolu Agency,2025-06-07 07:07:36.833391,https://example.com/article_41,sample
Government announces infrastructure investment program,International investors are closely watching Turkish economic developments...,International investors are closely watching Turkish economic developments......,tr,Reuters,2025-06-14 13:11:36.833391,https://example.com/article_42,sample
Inflation concerns grow as food prices surge in Turkey,Policy makers are considering various options to stabilize the economy...,The government's new economic strategy aims to boost growth and stability......,en,Anadolu Agency,2025-06-22 15:29:36.833391,https://example.com/article_43,sample
Turkish manufacturing sector expands for third consecutive month,Economic indicators show mixed signals for Turkish market outlook...,Market analysts predict continued volatility in the coming weeks......,en,Bloomberg,2025-06-20 10:34:36.833391,https://example.com/article_44,sample
Erdogan announces new economic reform package,The government's new economic strategy aims to boost growth and stability...,Policy makers are considering various options to stabilize the economy......,en,BBC,2025-06-03 02:59:36.833391,https://example.com/article_45,sample
Turkish tourism industry bounces back strongly,Economic indicators show mixed signals for Turkish market outlook...,Economic indicators show mixed signals for Turkish market outlook......,tr,Hurriyet,2025-06-13 19:19:36.833391,https://example.com/article_46,sample
Government announces infrastructure investment program,Economic indicators show mixed signals for Turkish market outlook...,Policy makers are considering various options to stabilize the economy......,tr,Bloomberg,2025-06-22 19:34:36.833391,https://example.com/article_47,sample
Turkish exports reach all-time high in quarterly results,Policy makers are considering various options to stabilize the economy...,The government's new economic strategy aims to boost growth and stability......,tr,Hurriyet,2025-06-07 01:20:36.833391,https://example.com/article_48,sample
New trade agreement signed between Turkey and EU,Economic indicators show mixed signals for Turkish market outlook...,Policy makers are considering various options to stabilize the economy......,en,BBC,2025-05-31 00:21:36.833391,https://example.com/article_49,sample
Turkish tourism industry bounces back strongly,International investors are closely watching Turkish economic developments...,Economic indicators show mixed signals for Turkish market outlook......,tr,Haberturk,2025-05-31 01:14:36.833391,https://example.com/article_50,sample
Currency volatility increases amid political uncertainty,Economic indicators show mixed signals for Turkish market outlook...,Policy makers are considering various options to stabilize the economy......,en,Reuters,2025-06-21 15:35:36.833391,https://example.com/article_51,sample
Erdogan announces new economic reform package,Economic indicators show mixed signals for Turkish market outlook...,Policy makers are considering various options to stabilize the economy......,tr,Reuters,2025-05-30 22:13:36.833391,https://example.com/article_52,sample
Government announces infrastructure investment program,International investors are closely watching Turkish economic developments...,International investors are closely watching Turkish economic developments......,en,Haberturk,2025-06-05 17:21:36.833391,https://example.com/article_53,sample
Turkish lira strengthens against dollar after policy announcement,International investors are closely watching Turkish economic developments...,Economic indicators show mixed signals for Turkish market outlook......,tr,Anadolu Agency,2025-06-26 02:03:36.833391,https://example.com/article_54,sample
Istanbul stock exchange hits new record high,Market analysts predict continued volatility in the coming weeks...,The government's new economic strategy aims to boost growth and stability......,en,CNN,2025-05-28 03:42:36.833391,https://example.com/article_55,sample
Government announces infrastructure investment program,International investors are closely watching Turkish economic developments...,The government's new economic strategy aims to boost growth and stability......,en,CNN,2025-06-03 19:58:36.833391,https://example.com/article_56,sample
Currency volatility increases amid political uncertainty,The government's new economic strategy aims to boost growth and stability...,Policy makers are considering various options to stabilize the economy......,en,Anadolu Agency,2025-06-08 04:27:36.833391,https://example.com/article_57,sample
Turkish Central Bank raises interest rates to combat inflation,Economic indicators show mixed signals for Turkish market outlook...,International investors are closely watching Turkish economic developments......,en,Haberturk,2025-05-27 23:23:36.833391,https://example.com/article_58,sample
Istanbul stock exchange hits new record high,Market analysts predict continued volatility in the coming weeks...,Economic indicators show mixed signals for Turkish market outlook......,en,Bloomberg,2025-06-20 14:36:36.833391,https://example.com/article_59,sample
Erdogan announces new economic reform package,The government's new economic strategy aims to boost growth and stability...,Market analysts predict continued volatility in the coming weeks......,tr,Hurriyet,2025-05-30 12:51:36.833391,https://example.com/article_60,sample
New trade agreement signed between Turkey and EU,International investors are closely watching Turkish economic developments...,Market analysts predict continued volatility in the coming weeks......,tr,Bloomberg,2025-05-28 00:23:36.833391,https://example.com/article_61,sample
Inflation concerns grow as food prices surge in Turkey,Policy makers are considering various options to stabilize the economy...,Policy makers are considering various options to stabilize the economy......,en,Anadolu Agency,2025-06-17 12:47:36.833391,https://example.com/article_62,sample
Turkish exports reach all-time high in quarterly results,Economic indicators show mixed signals for Turkish market outlook...,International investors are closely watching Turkish economic developments......,tr,Reuters,2025-06-08 22:04:36.833391,https://example.com/article_63,sample
Turkish manufacturing sector expands for third consecutive month,International investors are closely watching Turkish economic developments...,Market analysts predict continued volatility in the coming weeks......,en,CNN,2025-06-22 06:14:36.833391,https://example.com/article_64,sample
Turkish manufacturing sector expands for third consecutive month,The government's new economic strategy aims to boost growth and stability...,International investors are closely watching Turkish economic developments......,tr,BBC,2025-06-03 02:18:36.833391,https://example.com/article_65,sample
Turkish banks report strong quarterly earnings,Policy makers are considering various options to stabilize the economy...,Economic indicators show mixed signals for Turkish market outlook......,tr,BBC,2025-06-20 00:49:36.833391,https://example.com/article_66,sample
Turkish exports reach all-time high in quarterly results,Policy makers are considering various options to stabilize the economy...,Policy makers are considering various options to stabilize the economy......,en,Haberturk,2025-06-13 16:46:36.833391,https://example.com/article_67,sample
Turkish tourism industry bounces back strongly,Economic indicators show mixed signals for Turkish market outlook...,International investors are closely watching Turkish economic developments......,tr,Reuters,2025-06-19 16:30:36.833391,https://example.com/article_68,sample
Geopolitical tensions affect Turkish financial markets,Market analysts predict continued volatility in the coming weeks...,International investors are closely watching Turkish economic developments......,en,Bloomberg,2025-06-07 13:44:36.833391,https://example.com/article_69,sample
Currency volatility increases amid political uncertainty,Policy makers are considering various options to stabilize the economy...,Policy makers are considering various options to stabilize the economy......,tr,BBC,2025-06-07 19:38:36.833391,https://example.com/article_70,sample
Turkish economy shows signs of recovery in latest GDP data,Market analysts predict continued volatility in the coming weeks...,Policy makers are considering various options to stabilize the economy......,tr,Bloomberg,2025-06-21 04:52:36.833391,https://example.com/article_71,sample
Currency volatility increases amid political uncertainty,The government's new economic strategy aims to boost growth and stability...,Economic indicators show mixed signals for Turkish market outlook......,tr,Anadolu Agency,2025-06-14 21:47:36.833391,https://example.com/article_72,sample
Turkish lira strengthens against dollar after policy announcement,Market analysts predict continued volatility in the coming weeks...,Market analysts predict continued volatility in the coming weeks......,en,Haberturk,2025-05-28 12:26:36.833391,https://example.com/article_73,sample
Turkish manufacturing sector expands for third consecutive month,Policy makers are considering various options to stabilize the economy...,Policy makers are considering various options to stabilize the economy......,tr,BBC,2025-06-14 05:00:36.833391,https://example.com/article_74,sample
Turkish tourism industry bounces back strongly,The government's new economic strategy aims to boost growth and stability...,Policy makers are considering various options to stabilize the economy......,tr,Anadolu Agency,2025-06-16 14:39:36.833391,https://example.com/article_75,sample
Government announces infrastructure investment program,Economic indicators show mixed signals for Turkish market outlook...,International investors are closely watching Turkish economic developments......,en,Reuters,2025-06-15 06:34:36.833391,https://example.com/article_76,sample
Turkish Central Bank raises interest rates to combat inflation,Policy makers are considering various options to stabilize the economy...,Economic indicators show mixed signals for Turkish market outlook......,tr,Anadolu Agency,2025-06-09 23:27:36.833391,https://example.com/article_77,sample
Turkish tourism industry bounces back strongly,Policy makers are considering various options to stabilize the economy...,International investors are closely watching Turkish economic developments......,en,Haberturk,2025-05-28 05:10:36.833391,https://example.com/article_78,sample
New trade agreement signed between Turkey and EU,Market analysts predict continued volatility in the coming weeks...,Market analysts predict continued volatility in the coming weeks......,tr,CNN,2025-06-06 04:49:36.833391,https://example.com/article_79,sample
Turkish tourism industry bounces back strongly,International investors are closely watching Turkish economic developments...,Economic indicators show mixed signals for Turkish market outlook......,en,Bloomberg,2025-06-22 07:02:36.833391,https://example.com/article_80,sample
Currency volatility increases amid political uncertainty,The government's new economic strategy aims to boost growth and stability...,Policy makers are considering various options to stabilize the economy......,tr,Hurriyet,2025-06-16 23:37:36.833391,https://example.com/article_81,sample
Geopolitical tensions affect Turkish financial markets,Economic indicators show mixed signals for Turkish market outlook...,Economic indicators show mixed signals for Turkish market outlook......,en,Reuters,2025-05-29 12:53:36.833391,https://example.com/article_82,sample
Erdogan announces new economic reform package,Policy makers are considering various options to stabilize the economy...,Policy makers are considering various options to stabilize the economy......,en,CNN,2025-06-07 07:59:36.833391,https://example.com/article_83,sample
Currency volatility increases amid political uncertainty,Economic indicators show mixed signals for Turkish market outlook...,Market analysts predict continued volatility in the coming weeks......,en,Bloomberg,2025-06-05 18:44:36.833391,https://example.com/article_84,sample
Turkish tourism industry bounces back strongly,Economic indicators show mixed signals for Turkish market outlook...,The government's new economic strategy aims to boost growth and stability......,tr,Bloomberg,2025-06-01 09:21:36.833391,https://example.com/article_85,sample
Geopolitical tensions affect Turkish financial markets,Market analysts predict continued volatility in the coming weeks...,Policy makers are considering various options to stabilize the economy......,tr,BBC,2025-06-06 03:02:36.833391,https://example.com/article_86,sample
Currency volatility increases amid political uncertainty,The government's new economic strategy aims to boost growth and stability...,The government's new economic strategy aims to boost growth and stability......,tr,Bloomberg,2025-06-08 18:03:36.833391,https://example.com/article_87,sample
Turkish manufacturing sector expands for third consecutive month,International investors are closely watching Turkish economic developments...,The government's new economic strategy aims to boost growth and stability......,tr,Hurriyet,2025-06-18 16:58:36.833391,https://example.com/article_88,sample
Turkish Central Bank raises interest rates to combat inflation,Market analysts predict continued volatility in the coming weeks...,International investors are closely watching Turkish economic developments......,en,BBC,2025-06-21 16:17:36.833391,https://example.com/article_89,sample
Turkish economy shows signs of recovery in latest GDP data,The government's new economic strategy aims to boost growth and stability...,International investors are closely watching Turkish economic developments......,en,Anadolu Agency,2025-06-04 02:30:36.833391,https://example.com/article_90,sample
Currency volatility increases amid political uncertainty,Policy makers are considering various options to stabilize the economy...,International investors are closely watching Turkish economic developments......,en,Anadolu Agency,2025-06-11 10:08:36.833391,https://example.com/article_91,sample
Inflation concerns grow as food prices surge in Turkey,Economic indicators show mixed signals for Turkish market outlook...,The government's new economic strategy aims to boost growth and stability......,en,BBC,2025-06-16 20:57:36.833391,https://example.com/article_92,sample
Istanbul stock exchange hits new record high,Policy makers are considering various options to stabilize the economy...,Policy makers are considering various options to stabilize the economy......,tr,Reuters,2025-05-27 14:49:36.833391,https://example.com/article_93,sample
Turkish banks report strong quarterly earnings,Policy makers are considering various options to stabilize the economy...,International investors are closely watching Turkish economic developments......,tr,Anadolu Agency,2025-05-31 03:01:36.833391,https://example.com/article_94,sample
Istanbul stock exchange hits new record high,Market analysts predict continued volatility in the coming weeks...,Economic indicators show mixed signals for Turkish market outlook......,tr,Hurriyet,2025-06-25 00:05:36.833391,https://example.com/article_95,sample
Turkish lira strengthens against dollar after policy announcement,The government's new economic strategy aims to boost growth and stability...,The government's new economic strategy aims to boost growth and stability......,en,Hurriyet,2025-06-26 12:55:36.833391,https://example.com/article_96,sample
Turkish economy shows signs of recovery in latest GDP data,Policy makers are considering various options to stabilize the economy...,International investors are closely watching Turkish economic developments......,tr,Haberturk,2025-06-25 23:53:36.833391,https://example.com/article_97,sample
Turkish banks report strong quarterly earnings,The government's new economic strategy aims to boost growth and stability...,The government's new economic strategy aims to boost growth and stability......,tr,BBC,2025-06-07 15:27:36.833391,https://example.com/article_98,sample
Turkish Central Bank raises interest rates to combat inflation,Economic indicators show mixed signals for Turkish market outlook...,Policy makers are considering various options to stabilize the economy......,tr,Haberturk,2025-06-17 17:46:36.833391,https://example.com/article_99,sample
Central bank governor signals potential rate cuts ahead,Market analysts predict continued volatility in the coming weeks...,The government's new economic strategy aims to boost growth and stability......,en,Bloomberg,2025-06-17 17:37:36.833391,https://example.com/article_100,sample
Inflation concerns grow as food prices surge in Turkey,International investors are closely watching Turkish economic developments...,Policy makers are considering various options to stabilize the economy......,en,BBC,2025-06-04 11:12:36.833391,https://example.com/article_101,sample
Turkish tourism industry bounces back strongly,Market analysts predict continued volatility in the coming weeks...,Economic indicators show mixed signals for Turkish market outlook......,tr,BBC,2025-06-20 08:01:36.833391,https://example.com/article_102,sample
Turkish manufacturing sector expands for third consecutive month,International investors are closely watching Turkish economic developments...,The government's new economic strategy aims to boost growth and stability......,tr,BBC,2025-05-27 19:15:36.833391,https://example.com/article_103,sample
Turkish economy shows signs of recovery in latest GDP data,The government's new economic strategy aims to boost growth and stability...,Economic indicators show mixed signals for Turkish market outlook......,tr,CNN,2025-06-06 03:14:36.833391,https://example.com/article_104,sample
New trade agreement signed between Turkey and EU,The government's new economic strategy aims to boost growth and stability...,The government's new economic strategy aims to boost growth and stability......,tr,Hurriyet,2025-06-18 11:44:36.833391,https://example.com/article_105,sample
Inflation concerns grow as food prices surge in Turkey,International investors are closely watching Turkish economic developments...,International investors are closely watching Turkish economic developments......,tr,Hurriyet,2025-06-09 20:20:36.833391,https://example.com/article_106,sample
Turkish economy shows signs of recovery in latest GDP data,Market analysts predict continued volatility in the coming weeks...,Market analysts predict continued volatility in the coming weeks......,tr,CNN,2025-06-11 17:53:36.833391,https://example.com/article_107,sample
Turkish lira strengthens against dollar after policy announcement,Policy makers are considering various options to stabilize the economy...,Economic indicators show mixed signals for Turkish market outlook......,en,BBC,2025-06-18 11:43:36.833391,https://example.com/article_108,sample
New trade agreement signed between Turkey and EU,Market analysts predict continued volatility in the coming weeks...,Market analysts predict continued volatility in the coming weeks......,en,CNN,2025-06-06 21:39:36.833391,https://example.com/article_109,sample
Government announces infrastructure investment program,Economic indicators show mixed signals for Turkish market outlook...,Economic indicators show mixed signals for Turkish market outlook......,en,CNN,2025-05-29 07:34:36.833391,https://example.com/article_110,sample
Geopolitical tensions affect Turkish financial markets,Market analysts predict continued volatility in the coming weeks...,Market analysts predict continued volatility in the coming weeks......,tr,CNN,2025-06-13 09:45:36.833391,https://example.com/article_111,sample
Turkish tourism industry bounces back strongly,The government's new economic strategy aims to boost growth and stability...,Market analysts predict continued volatility in the coming weeks......,tr,Haberturk,2025-06-10 13:25:36.833391,https://example.com/article_112,sample
Turkish lira strengthens against dollar after policy announcement,Policy makers are considering various options to stabilize the economy...,The government's new economic strategy aims to boost growth and stability......,tr,BBC,2025-06-02 14:06:36.833391,https://example.com/article_113,sample
Government announces infrastructure investment program,Economic indicators show mixed signals for Turkish market outlook...,Market analysts predict continued volatility in the coming weeks......,tr,CNN,2025-06-14 12:16:36.833391,https://example.com/article_114,sample
Government announces infrastructure investment program,Policy makers are considering various options to stabilize the economy...,Economic indicators show mixed signals for Turkish market outlook......,en,Reuters,2025-06-27 07:16:36.833391,https://example.com/article_115,sample
Government announces infrastructure investment program,Market analysts predict continued volatility in the coming weeks...,Economic indicators show mixed signals for Turkish market outlook......,en,Haberturk,2025-06-23 11:06:36.833391,https://example.com/article_116,sample
Turkish tourism industry bounces back strongly,Economic indicators show mixed signals for Turkish market outlook...,Economic indicators show mixed signals for Turkish market outlook......,en,Haberturk,2025-05-30 03:02:36.833391,https://example.com/article_117,sample
Turkish Central Bank raises interest rates to combat inflation,Policy makers are considering various options to stabilize the economy...,International investors are closely watching Turkish economic developments......,en,Anadolu Agency,2025-06-08 03:48:36.833391,https://example.com/article_118,sample
Turkish banks report strong quarterly earnings,Market analysts predict continued volatility in the coming weeks...,The government's new economic strategy aims to boost growth and stability......,en,Haberturk,2025-06-04 16:32:36.833391,https://example.com/article_119,sample
Geopolitical tensions affect Turkish financial markets,Economic indicators show mixed signals for Turkish market outlook...,Economic indicators show mixed signals for Turkish market outlook......,en,Anadolu Agency,2025-06-06 13:23:36.833391,https://example.com/article_120,sample
Turkish lira strengthens against dollar after policy announcement,Economic indicators show mixed signals for Turkish market outlook...,The government's new economic strategy aims to boost growth and stability......,en,BBC,2025-05-31 21:53:36.833391,https://example.com/article_121,sample
Currency volatility increases amid political uncertainty,Policy makers are considering various options to stabilize the economy...,The government's new economic strategy aims to boost growth and stability......,en,BBC,2025-06-25 23:15:36.833391,https://example.com/article_122,sample
Government announces infrastructure investment program,International investors are closely watching Turkish economic developments...,International investors are closely watching Turkish economic developments......,tr,Bloomberg,2025-06-17 08:52:36.833391,https://example.com/article_123,sample
Turkish banks report strong quarterly earnings,International investors are closely watching Turkish economic developments...,Economic indicators show mixed signals for Turkish market outlook......,en,Haberturk,2025-06-14 00:12:36.833391,https://example.com/article_124,sample
Currency volatility increases amid political uncertainty,Policy makers are considering various options to stabilize the economy...,Policy makers are considering various options to stabilize the economy......,tr,BBC,2025-06-02 16:39:36.833391,https://example.com/article_125,sample
Inflation concerns grow as food prices surge in Turkey,The government's new economic strategy aims to boost growth and stability...,The government's new economic strategy aims to boost growth and stability......,tr,Reuters,2025-06-15 23:59:36.833391,https://example.com/article_126,sample
Government announces infrastructure investment program,International investors are closely watching Turkish economic developments...,Policy makers are considering various options to stabilize the economy......,tr,BBC,2025-05-27 10:56:36.833391,https://example.com/article_127,sample
Government announces infrastructure investment program,Policy makers are considering various options to stabilize the economy...,The government's new economic strategy aims to boost growth and stability......,en,Bloomberg,2025-06-02 00:47:36.833391,https://example.com/article_128,sample
Turkish lira strengthens against dollar after policy announcement,Policy makers are considering various options to stabilize the economy...,The government's new economic strategy aims to boost growth and stability......,tr,Reuters,2025-05-31 22:30:36.833391,https://example.com/article_129,sample
Central bank governor signals potential rate cuts ahead,Economic indicators show mixed signals for Turkish market outlook...,Policy makers are considering various options to stabilize the economy......,en,BBC,2025-06-08 09:17:36.833391,https://example.com/article_130,sample
Government announces infrastructure investment program,International investors are closely watching Turkish economic developments...,Policy makers are considering various options to stabilize the economy......,en,CNN,2025-06-17 05:25:36.833391,https://example.com/article_131,sample
Inflation concerns grow as food prices surge in Turkey,International investors are closely watching Turkish economic developments...,Policy makers are considering various options to stabilize the economy......,en,Hurriyet,2025-06-07 22:54:36.833391,https://example.com/article_132,sample
Turkish manufacturing sector expands for third consecutive month,Market analysts predict continued volatility in the coming weeks...,International investors are closely watching Turkish economic developments......,tr,Haberturk,2025-06-05 16:36:36.833391,https://example.com/article_133,sample
New trade agreement signed between Turkey and EU,Economic indicators show mixed signals for Turkish market outlook...,Economic indicators show mixed signals for Turkish market outlook......,tr,Reuters,2025-06-23 18:24:36.833391,https://example.com/article_134,sample
Geopolitical tensions affect Turkish financial markets,International investors are closely watching Turkish economic developments...,International investors are closely watching Turkish economic developments......,en,Hurriyet,2025-06-19 15:03:36.833391,https://example.com/article_135,sample
Currency volatility increases amid political uncertainty,Policy makers are considering various options to stabilize the economy...,International investors are closely watching Turkish economic developments......,en,BBC,2025-06-16 15:12:36.833391,https://example.com/article_136,sample
Turkish Central Bank raises interest rates to combat inflation,International investors are closely watching Turkish economic developments...,Market analysts predict continued volatility in the coming weeks......,en,Bloomberg,2025-06-11 03:17:36.833391,https://example.com/article_137,sample
Turkish Central Bank raises interest rates to combat inflation,Market analysts predict continued volatility in the coming weeks...,The government's new economic strategy aims to boost growth and stability......,en,Hurriyet,2025-06-16 21:31:36.833391,https://example.com/article_138,sample
Turkish tourism industry bounces back strongly,Policy makers are considering various options to stabilize the economy...,The government's new economic strategy aims to boost growth and stability......,en,BBC,2025-06-13 19:32:36.833391,https://example.com/article_139,sample
Geopolitical tensions affect Turkish financial markets,Economic indicators show mixed signals for Turkish market outlook...,Economic indicators show mixed signals for Turkish market outlook......,en,Reuters,2025-06-15 14:30:36.833391,https://example.com/article_140,sample
Erdogan announces new economic reform package,The government's new economic strategy aims to boost growth and stability...,Market analysts predict continued volatility in the coming weeks......,tr,CNN,2025-06-18 01:06:36.833391,https://example.com/article_141,sample
Turkish Central Bank raises interest rates to combat inflation,International investors are closely watching Turkish economic developments...,International investors are closely watching Turkish economic developments......,tr,Bloomberg,2025-06-04 20:25:36.833391,https://example.com/article_142,sample
